,,,,,,,,,,,,,,,,,,,,,visivel
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TÍTULO,EDIÇÃO,EDITORA,CATEGORIA,LIDO,OBS,INCLUSAO,,,,,,,,,,,,,,,
A SAGA DO MONSTRO DO PÂNTANO ALAN MOORE,1,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO MONSTRO DO PÂNTANO ALAN MOORE,2,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO MONSTRO DO PÂNTANO ALAN MOORE,3,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO MONSTRO DO PÂNTANO ALAN MOORE,4,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO MONSTRO DO PÂNTANO ALAN MOORE,5,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO MONSTRO DO PÂNTANO ALAN MOORE,6,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO TIO PATINHAS,1,ABRIL,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO TIO PATINHAS,2,ABRIL,HQ,NÃO,,,,,,,,,,,,,,,,,
A SAGA DO TIO PATINHAS,3,ABRIL,HQ,NÃO,,,,,,,,,,,,,,,,,
A ÚLTIMA CAÇADA DE KRAVEN,ÚNICA,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ABE SAPIEN,1,MYTHOS,HQ,NÃO,,,,,,,,,,,,,,,,,
ABSOLUTE BATMAN,1,PANINI,HQ,SIM,AUTOGRAFADO,,,,,,,,,,,,,,,,
ABSOLUTE BATMAN,2,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ABSOLUTE BATMAN,3,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ABSOLUTE BATMAN,4,PANINI,HQ,NÃO,,15/05/2026,,,,,,,,,,,,,,,
ABSOLUTE CAÇADOR DE MARTE,1,PANINI,HQ,SIM,,13/02/2026,,,,,,,,,,,,,,,
ABSOLUTE CAÇADOR DE MARTE,2,PANINI,HQ,SIM,,26/04/2026,,,,,,,,,,,,,,,
ABSOLUTE MULHER MARAVILHA,1,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ABSOLUTE MULHER MARAVILHA,2,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ABSOLUTE MULHER MARAVILHA,3,PANINI,HQ,SIM,,26/04/2026,,,,,,,,,,,,,,,
ABSOLUTE SUPERMAN,1,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ABSOLUTE SUPERMAN,2,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ABSOLUTE SUPERMAN,3,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
AKIRA,1,JBC,MANGÁ,SIM,,,,,,,,,,,,,,,,,
AKIRA,2,JBC,MANGÁ,SIM,,,,,,,,,,,,,,,,,
AKIRA,3,JBC,MANGÁ,SIM,,,,,,,,,,,,,,,,,
AKIRA,4,JBC,MANGÁ,SIM,,,,,,,,,,,,,,,,,
AKIRA,5,JBC,MANGÁ,NÃO,,,,,,,,,,,,,,,,,
AKIRA,6,JBC,MANGÁ,NÃO,,,,,,,,,,,,,,,,,
ALACK SINNER,1,PIPOCA E NANQUIM,HQ,NÃO,,,,,,,,,,,,,,,,,
ALACK SINNER,2,PIPOCA E NANQUIM,HQ,NÃO,,15/05/2026,,,,,,,,,,,,,,,
ALIAS,1,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
"ANA, MOSQUINHA E LAGARTIXINHA",ÚNICA,INDEPENDENTE,HQ,SIM,AUTOGRAFADO,,,,,,,,,,,,,,,,
AQUAMAN BY GEOFF JHONS OMNIBUS,ÚNICA,DC,HQ,NÃO,,,,,,,,,,,,,,,,,
AQUAMAN RENASCIMENTO,1,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
AQUAMAN RENASCIMENTO,2,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
AQUAMAN RENASCIMENTO,3,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
AQUAMAN RENASCIMENTO,4,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
AQUAMAN RENASCIMENTO,5,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
AQUAMAN RENASCIMENTO,6,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
ARENA,ÚNICA,PIPOCA E NANQUIM,HQ,NÃO,,,,,,,,,,,,,,,,,
ARLINDO,ÚNICA,SEGUINTE,HQ,NÃO,AUTOGRAFADO,,,,,,,,,,,,,,,,
ARQUEIRO VERDE RENASCIMENTO,1,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ARQUEIRO VERDE RENASCIMENTO,2,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ARQUEIRO VERDE RENASCIMENTO,3,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ARQUEIRO VERDE RENASCIMENTO,4,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ARQUEIRO VERDE RENASCIMENTO,5,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ARQUEIRO VERDE RENASCIMENTO,6,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
ARQUEIRO VERDE RENASCIMENTO,7,PANINI,HQ,SIM,,,,,,,,,,,,,,,,,
AS AVENTURAS DE SHERLOCK HOLMES,ÚNICA,MYTHOS,HQ,NÃO,,,,,,,,,,,,,,,,,
AS CRÔNICAS DA ERA DO GELO,1,PIPOCA E NANQUIM,MANGÁ,NÃO,,,,,,,,,,,,,,,,,
AS CRÔNICAS DA ERA DO GELO,2,PIPOCA E NANQUIM,MANGÁ,NÃO,,,,,,,,,,,,,,,,,
AS EGOCÊNTRICAS MALDIÇÕES DE SOUICHI,ÚNICA,PIPOCA E NANQUIM,MANGÁ,NÃO,,,,,,,,,,,,,,,,,
AS GRANDES AVENTURAS DE TEX A GRANDE INVASÃO,4,MYTHOS,HQ,NÃO,,,,,,,,,,,,,,,,,
AS GRANDES AVENTURAS DE TEX MISSÃO EM GREAT FALLS,11,MYTHOS,HQ,NÃO,,,,,,,,,,,,,,,,,
AS MUITAS MORTES DE BATMAN,ÚNICA,PANINI,HQ,NÃO,,,,,,,,,,,,,,,,,
AS MUITAS VIDAS DO PATO DONALD,4,ABRIL,HQ,NÃO,,,,,,,,,,,,,,,,,
